"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1969-08";15;9.1;20.6;6;25.2;61.6;10.5;45.4;12
"1969-09";11.7;4.3;9.2;3.6;17.3;36;18.2;42.5;12.9
"1969-10";32;11.6;40.5;4.7;31.4;42.1;13.2;24.5;26.3
"1969-11";26.2;19.2;18.8;4.5;9.1;8.2;7.6;14.1;8.6
"1969-12";9.8;4;36;3;17;50.2;15.7;21.1;8.6
"1970-01";9.2;30.9;48.9;7.5;9.4;33.7;16.7;40;12
"1970-02";10.7;11.4;86.3;4.9;20.6;27.5;14.3;37.9;15.6
"1970-03";10.5;7.6;10;6.8;13.5;11;20.4;27.6;19.6
"1970-04";3.2;17.1;27.9;2.2;18.1;16.5;14.4;30.8;6.7
"1970-05";11.3;7.8;19.8;2.5;30.1;18.6;14.5;31;16.4
"1970-06";5.3;7.4;2.8;2.2;19.2;25;16.3;17.6;14.8
"1970-07";6;9.9;77.7;22;18;13.2;7.3;26.3;12.8
"1970-08";17.2;7.9;25.6;4.5;11.4;67.9;24.2;58.1;16.7
"1970-09";7.6;13.8;45.9;7;40.9;32.6;16.1;19.2;7.2
"1970-10";33.4;21.4;10;14.9;32;63.4;33.3;32.7;33.5
"1970-11";84.5;13.6;15.8;13;13.2;12.1;6.5;47.3;4.3
"1970-12";12.3;14;21.1;3.3;24.7;21.6;15;16.9;22
"1971-01";14.6;15.7;20.2;18.7;6.5;13.7;10.3;10.1;5.7
"1971-02";27.8;6.8;20.9;5.2;16.6;34.8;17.2;17.1;31.3
"1971-03";12.7;10;42.3;4;42.1;24.9;16.1;59.7;10
"1971-04";9.4;12;70.9;2;13.6;33.6;13.2;32.5;10.9
"1971-05";6.6;8.8;24.3;7.1;15.2;23.4;8.2;10.8;8.5
"1971-06";0.5;3.3;27.3;9.3;3;9.1;1;5.6;0.7
"1971-07";12.8;9.6;29;13.7;28.7;25.2;23.3;18.5;29
"1971-08";9.8;14.7;52.6;17.2;9.7;20.5;12.3;14.6;9.6
"1971-09";22.2;9.1;50.5;7.8;15;44.5;8.2;27.5;16
"1971-10";8.7;10.5;34.3;5;20.1;51.2;19.8;42.1;21.6
"1971-11";9.1;10.3;28;5;18.8;18;18;28.5;15.2
"1971-12";8.5;16.7;33.2;5.7;17.5;28.7;12.1;23.6;21
"1972-01";25;9.1;24.6;7.8;23.3;27.3;26.3;24.7;37.2
"1972-02";6;7.6;20.9;1.3;19.8;37.8;21;27.4;38
"1972-03";10.6;6.8;10.8;8.5;37.1;52.5;30.1;30.2;27
"1972-04";12.1;4.6;44.5;4;17.2;29.8;14.6;34.7;20.1
"1972-05";10.2;20.7;26.7;1.6;19.1;22.4;11.5;19.2;8
"1972-06";54.9;30.9;33;10.9;12.5;22.7;6.8;28.8;7.4
"1972-07";8.2;13;14.5;15.7;30.6;47.2;8.7;46.7;18.2
"1972-08";10.5;4.5;12.4;13;30.5;24.1;10.3;54.3;11
"1972-09";13.2;9.4;28.4;8.2;14.3;24.9;22.4;40.3;11.3
"1972-10";57;38.7;133.8;11.4;37.4;33.4;21.6;18.8;34.6
"1972-11";14.2;18.7;49.7;8;15.6;26.2;10;14.6;11
"1972-12";18.2;15.1;39.9;4.2;18.5;41.5;14;20.8;14.9
"1973-01";9.6;7.6;34.2;16;13.9;53.3;13.7;22.7;13.7
"1973-02";10.5;12.7;34.1;8.5;17.7;25.6;22.1;35.6;22.3
"1973-03";12.5;4.6;23.7;3.6;14.2;25.1;12.4;19.4;15.9
"1973-04";4.9;23;36.4;15.2;6.7;19.8;14.4;21.1;5.6
"1973-05";3.9;3.8;15.9;3.2;10.2;37.9;6;19.7;7.4
"1973-06";6;17.4;9.9;20.5;17;28.3;6.3;21.1;15.6
"1973-07";30;5.2;22.6;10.1;12.5;11.3;20.3;21.1;20
"1973-08";12.5;25.3;33.6;29.1;28.6;52.1;17;40;11
"1973-09";11;8.9;49.5;14.8;36;37.6;22.2;57;17.6
"1973-10";10.8;31.1;40.8;8.3;25.3;33.8;24.2;42.4;17
"1973-11";26.1;9.8;13.7;7;51.2;34.7;31.6;67.8;18.6
"1973-12";5;11.4;21.3;5.5;18.8;16.8;8.4;23.6;8.9
"1974-01";12.4;9.9;38.2;5.2;19.6;23.1;8.9;29.1;8
"1974-02";19.5;19.5;73.3;6.5;19;42;16.3;32.8;28.9
"1974-03";10.6;5.7;17.5;1.5;47.8;20;36.8;28;56.6
"1974-04";5.7;8;12.6;13.5;20.1;39.4;13.4;31.7;29.8
"1974-05";7.4;5.2;17.6;7.1;9.5;41.6;5;25.4;7
"1974-06";13.2;6.4;34.9;8.5;14.5;31.9;13.6;17.3;11
"1974-07";2.5;10.8;42;19;10.9;23.8;12.3;9.9;3.4
"1974-08";5;18.5;73.6;17.5;25.5;42.4;10.9;26.5;10.2
"1974-09";9;13.2;67.2;17.5;14.3;27;6.4;24.5;10.5
"1974-10";10.1;11.9;16.9;6.1;34.3;44.9;22.7;43.8;31.6
"1974-11";24.2;18.2;57.5;5;31.8;62;20.2;52.7;26.2
"1974-12";10.9;13.6;27.2;6.5;13.5;18.7;10;16;19.2
"1975-01";13.1;20.7;22.7;6.3;20.3;19;11.6;27.2;18.6
"1975-02";14.9;13;15;4.1;24.4;29.3;12.3;21.4;11.8
"1975-03";6.3;9.8;35.1;4;14.3;12.8;10.9;15.7;21.7
"1975-04";3.6;5.7;26.1;3.3;18.7;10.9;7.4;32.1;7.3
"1975-05";7.3;4.6;9.3;2.5;20.8;22;7.4;47.8;15.5
"1975-06";10.5;7;22.5;7.5;22.4;34.3;11.5;46.4;7.3
"1975-07";7.3;7.5;29.6;10.4;10;34.3;13;23.2;14.8
"1975-08";18.2;5.6;8.4;4.6;27.8;38.3;8.6;56.6;12.8
"1975-09";16.9;21.4;51.5;7;36.8;25.8;18.8;50;21
"1975-10";15.7;8.4;25.8;8.5;17.4;41.9;7.4;24.9;13.8
"1975-11";11.9;8.3;25.3;7;36.7;39.9;23.7;46.2;18
"1975-12";15.2;13.6;13.7;4;16.7;15.6;23.7;42.3;29.8
"1976-01";8;6.8;35.6;4.5;14.2;12.8;13.2;27.2;12.8
"1976-02";11.1;10.6;24.4;6.5;16.8;24.8;16.7;25.1;24.5
"1976-03";5.5;8.4;35.3;3.7;19.1;26;28.8;46.9;12.3
"1976-04";7.2;3.3;22;2.1;13.1;23.3;14.4;23.4;21.2
"1976-05";3.1;10.5;67.1;7.5;18.5;40.3;12.8;36.4;12.9
"1976-06";5.4;7.9;27.1;10.7;12.9;27.5;7.6;18.5;11
"1976-07";15.7;9;21.5;8.6;7.7;43.9;11.2;12.9;8.4
"1976-08";28.3;13;9.5;5.6;43.5;17.5;18.3;38.4;19.9
"1976-09";7;2.1;6.9;1.3;9.5;20;12.1;22;5.2
"1976-10";22.2;12.7;47.1;13.9;16.6;19.4;16.4;24.5;13
"1976-11";69.6;17.9;31.4;4.5;16.5;31.8;12.9;26.6;21
"1976-12";10.5;16.5;13.3;7;50.4;24.6;4.9;21.3;12.6
"1977-01";15.9;6.6;17.5;5;16.3;35.8;8.2;16.2;6.3
"1977-02";22;2.6;10.6;6;11.8;10.8;13.6;40;0.5
"1977-03";5.5;8.2;65.9;5;13.6;22.1;15.2;21.4;12.8
"1977-04";12.2;15;20.3;8.5;13.3;28.7;9.4;25.8;7.4
"1977-05";29.7;0.9;12.9;0;14.6;16.7;4.6;16.2;8.1
"1977-06";7.9;4.7;3.1;11;40.9;60;30.6;38;8.4
"1977-07";17.6;9.5;149.3;9.8;27.1;29.6;17.9;14.2;28.2
"1977-08";21.7;13.2;35.2;12.4;49.1;56.1;25.4;75.4;18
"1977-09";14.6;6.8;22.9;14.3;22.6;29.3;17.4;22.5;21
"1977-10";29.2;22;49.5;9.3;18.1;25.4;8.2;28.6;16.7
"1977-11";9.4;12;31.5;7.1;10.8;23;10.2;17.1;14.5
"1977-12";10.8;6.5;21.9;7.5;17.2;32.1;12.5;21.9;6.8
